Clients:
 Client{id=1, timeArrival=34, timeService=5}
Client{id=72, timeArrival=77, timeService=7}
Client{id=73, timeArrival=28, timeService=9}
Client{id=74, timeArrival=78, timeService=9}
Client{id=75, timeArrival=78, timeService=5}
Client{id=76, timeArrival=56, timeService=9}
Client{id=77, timeArrival=39, timeService=8}
Client{id=78, timeArrival=95, timeService=3}
Client{id=79, timeArrival=83, timeService=5}
Client{id=80, timeArrival=27, timeService=5}
Client{id=81, timeArrival=73, timeService=8}
Client{id=82, timeArrival=74, timeService=5}
Client{id=83, timeArrival=58, timeService=8}
Client{id=84, timeArrival=15, timeService=5}
Client{id=85, timeArrival=32, timeService=4}
Client{id=86, timeArrival=100, timeService=8}
Client{id=87, timeArrival=89, timeService=5}
Client{id=88, timeArrival=68, timeService=5}
Client{id=89, timeArrival=34, timeService=7}
Client{id=90, timeArrival=75, timeService=4}
Client{id=91, timeArrival=28, timeService=8}
Client{id=92, timeArrival=28, timeService=3}
Client{id=93, timeArrival=30, timeService=3}
Client{id=94, timeArrival=74, timeService=6}
Client{id=95, timeArrival=61, timeService=4}
Client{id=96, timeArrival=87, timeService=4}
Client{id=97, timeArrival=95, timeService=8}
Client{id=98, timeArrival=52, timeService=3}
Client{id=99, timeArrival=89, timeService=6}
Client{id=100, timeArrival=85, timeService=4}


current time: 0
[
Server 1 {clients=[], waitingPeriod=0}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 1
[
Server 1 {clients=[], waitingPeriod=0}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 2
[
Server 1 {clients=[], waitingPeriod=0}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 3
[
Server 1 {clients=[], waitingPeriod=0}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 4
[
Server 1 {clients=[], waitingPeriod=0}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 5
[
Server 1 {clients=[], waitingPeriod=0}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 6
[
Server 1 {clients=[], waitingPeriod=0}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 7
[
Server 1 {clients=[], waitingPeriod=0}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 8
[
Server 1 {clients=[], waitingPeriod=0}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 9
[
Server 1 {clients=[], waitingPeriod=0}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 10
[
Server 1 {clients=[], waitingPeriod=0}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 11
[
Server 1 {clients=[], waitingPeriod=0}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 12
[
Server 1 {clients=[Client{id=14, timeArrival=12, timeService=7}], waitingPeriod=7}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 13
[
Server 1 {clients=[Client{id=14, timeArrival=12, timeService=6}], waitingPeriod=6}, 
Server 2 {clients=[Client{id=62, timeArrival=13, timeService=7}], waitingPeriod=7}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 14
[
Server 1 {clients=[Client{id=14, timeArrival=12, timeService=5}], waitingPeriod=5}, 
Server 2 {clients=[Client{id=62, timeArrival=13, timeService=6}], waitingPeriod=6}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 15
[
Server 1 {clients=[Client{id=14, timeArrival=12, timeService=4}], waitingPeriod=4}, 
Server 2 {clients=[Client{id=62, timeArrival=13, timeService=5}], waitingPeriod=5}, 
Server 3 {clients=[Client{id=11, timeArrival=15, timeService=4}], waitingPeriod=4}, 
Server 4 {clients=[Client{id=84, timeArrival=15, timeService=5}], waitingPeriod=5}, 
Server 5 {clients=[], waitingPeriod=0}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 16
[
Server 1 {clients=[Client{id=14, timeArrival=12, timeService=3}], waitingPeriod=3}, 
Server 2 {clients=[Client{id=62, timeArrival=13, timeService=4}], waitingPeriod=4}, 
Server 3 {clients=[Client{id=11, timeArrival=15, timeService=3}], waitingPeriod=3}, 
Server 4 {clients=[Client{id=84, timeArrival=15, timeService=4}], waitingPeriod=4}, 
Server 5 {clients=[Client{id=21, timeArrival=16, timeService=6}], waitingPeriod=6}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 17
[
Server 1 {clients=[Client{id=14, timeArrival=12, timeService=2}], waitingPeriod=2}, 
Server 2 {clients=[Client{id=62, timeArrival=13, timeService=3}], waitingPeriod=3}, 
Server 3 {clients=[Client{id=11, timeArrival=15, timeService=2}], waitingPeriod=2}, 
Server 4 {clients=[Client{id=84, timeArrival=15, timeService=3}], waitingPeriod=3}, 
Server 5 {clients=[Client{id=21, timeArrival=16, timeService=5}], waitingPeriod=5}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 18
[
Server 1 {clients=[Client{id=14, timeArrival=12, timeService=1}], waitingPeriod=1}, 
Server 2 {clients=[Client{id=62, timeArrival=13, timeService=2}], waitingPeriod=2}, 
Server 3 {clients=[Client{id=11, timeArrival=15, timeService=1}], waitingPeriod=1}, 
Server 4 {clients=[Client{id=84, timeArrival=15, timeService=2}], waitingPeriod=2}, 
Server 5 {clients=[Client{id=21, timeArrival=16, timeService=4}], waitingPeriod=4}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 19
[
Server 1 {clients=[], waitingPeriod=0}, 
Server 2 {clients=[Client{id=62, timeArrival=13, timeService=1}], waitingPeriod=1}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[Client{id=84, timeArrival=15, timeService=1}], waitingPeriod=1}, 
Server 5 {clients=[Client{id=21, timeArrival=16, timeService=3}], waitingPeriod=3}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 20
[
Server 1 {clients=[Client{id=52, timeArrival=20, timeService=7}], waitingPeriod=7}, 
Server 2 {clients=[], waitingPeriod=0}, 
Server 3 {clients=[], waitingPeriod=0}, 
Server 4 {clients=[], waitingPeriod=0}, 
Server 5 {clients=[Client{id=21, timeArrival=16, timeService=2}], waitingPeriod=2}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 21
[
Server 1 {clients=[Client{id=52, timeArrival=20, timeService=6}], waitingPeriod=6}, 
Server 2 {clients=[Client{id=32, timeArrival=21, timeService=5}], waitingPeriod=5}, 
Server 3 {clients=[Client{id=55, timeArrival=21, timeService=4}], waitingPeriod=4}, 
Server 4 {clients=[Client{id=60, timeArrival=21, timeService=5}], waitingPeriod=5}, 
Server 5 {clients=[Client{id=21, timeArrival=16, timeService=1}], waitingPeriod=1}, 
Server 6 {clients=[], waitingPeriod=0}, 
Server 7 {clients=[], waitingPeriod=0}, 
Server 8 {clients=[], waitingPeriod=0}, 
Server 9 {clients=[], waitingPeriod=0}, 
Server 10 {clients=[], waitingPeriod=0}, 
Server 11 {clients=[], waitingPeriod=0}, 
Server 12 {clients=[], waitingPeriod=0}, 
Server 13 {clients=[], waitingPeriod=0}, 
Server 14 {clients=[], waitingPeriod=0}, 
Server 15 {clients=[], waitingPeriod=0}, 
Server 16 {clients=[], waitingPeriod=0}, 
Server 17 {clients=[], waitingPeriod=0}, 
Server 18 {clients=[], waitingPeriod=0}, 
Server 19 {clients=[], waitingPeriod=0}, 
Server 20 {clients=[], waitingPeriod=0}]

current time: 22
[
Server 1 {clients=[Client{id=52, timeArrival=20, timeService=5}], waitingPeriod=5}, 
Server 2 {clients=[Client{id=32, timeArrival=21, timeService=4}], waitingPeriod=4}, 
Server 3 {clients=[Client{id=55, timeArrival=21, timeService=3}], waitingPeriod=3}, 
Server 4 {clients=[Client{id=60, timeArrival=21, timeService=4}], waitingPeriod=4}, 
Server 5 {clients=[Client{id=34, timeArrival=22, timeService=8}], waitingPeriod=8}, 
Server 6 {clients=[Client{id=63, timeArrival=22, timeService=6}], waitingPeriod=6}, 
Server 7 {clients=[], waitingPeriod=0}, 
